2nd-level,1st-level
Artenvielfalt,Biodiversität
Biodiversität,Biodiversität
Biodiversitätsforschung,Biodiversität
funktionale Vielfalt,Biodiversität
genetische Vielfalt,Biodiversität
Indikatoren Biodiversität,Biodiversität
Lebensraumvielfalt,Biodiversität
Molekulare Biodiversität,Biodiversität
Schutz von Biodiversität,Biodiversität
"Anpassung (an klimatische, geologische, geographische Bedingungen)",Biologie
Anpassung pflanzlicher Diasporen morphologisch / anatomisch,Biologie
Areal / Verbreitungsgebiet,Biologie
Artkonzept,Biologie
Aussterbeereignis / Extinktionsereignis / Aussterben / Extinktion,Biologie
bioanorganische Chemie / Pathobiochemie,Biologie
Biologische Eigenschaften von Taxa / Arten,Biologie
Chronobiologie,Biologie
Cytologie / Zytologie,Biologie
Diasporenausbreitung,Biologie
Genetik,Biologie
Habitat / Lebensraum von Arten,Biologie
Merkmale (anatomisch / morphologisch),Biologie
Mikrobiologie,Biologie
ökologische Biochemie,Biologie
Photosynthese,Biologie
Phylogenie / Stammesgeschichte,Biologie
Phyloinformatik,Biologie
Physiologie,Biologie
Phytopathologie,Biologie
Abbaubare Kunststoffe / Biokunststoffe,Biotechnologie
Bioethanol,Biotechnologie
Bioreaktor / Fermenter,Biotechnologie
Biotechnologische Produkte,Biotechnologie
Biotechnologische Prozesse,Biotechnologie
Interaktion Mikroorganismen / Bakterien - Pflanzen,Biotechnologie
Umweltbiotechnologie,Biotechnologie
Naturstoffabbau / Fremdstoffabbau,Biotechnologie
biogeochemische Prozesse,Boden
Boden,Boden
Bodenbildung,Boden
Boden-Biozönose,Boden
Bodenchemie,Boden
Bodeneigenschaften,Boden
Bodenkunde,Boden
Bodenphysik,Boden
Bodensystematik,Boden
Bodentypen,Boden
Boden-Vegetation-Atmosphäre-Modelle,Boden
Bodenwasserhaushalt,Boden
Evapotranspiration,Boden
subhydrische Böden als Umweltarchiv,Boden
Berichtlegung / Dokumentation / Qualifizierungsarbeiten,Forschung
Datenbanken,Forschung
empirische Sozialforschung,Forschung
Ergebnisinterpretation,Forschung
Forschung,Forschung
Forschungsmethoden,Forschung
Forschungsfragen / Hypothesen / Forschungsansätze,Forschung
Forschungsplan / Arbeitsplan,Forschung
Forschungspraktikum,Forschung
Interdisziplinarität,Forschung
Literaturrecherche / Literaturauswertung / Literaturdatenbanken,Forschung
Patentierung,Forschung
wissenschaftliche Diskussion,Forschung
wissenschaftliche Publikation,Forschung
wissenschaftliche Transferleistung,Forschung
wissenschaftliche Vorträge,Forschung
wissenschaftliches Arbeiten,Forschung
Wissenschaftsgeschichte,Forschung
Wissenschaftstheorie,Forschung
Wissenschaftsverständnis,Forschung
Analyse von Bilddaten,Geoinformation
Datengewinnung / Aufnahmeverfahren / Datenaufzeichnung von Geodaten,Geoinformation
Fernerkundung,Geoinformation
Geodateninfrastruktur / GDI,Geoinformation
Geodatenintegration,Geoinformation
Geoinformatik,Geoinformation
Geoinformationen / Geoinformationsdienste,Geoinformation
Geoinformationssysteme / GIS,Geoinformation
Georeferenzierung,Geoinformation
