ModulNr.1,ModulNr.2,Modultitel,Studiengang1,Studiengang2,Studiengang3,Studiengang4,Studiengang5,Studiengang6,Studiengang7,Studienart,Hochschule,Sprache,SWS Vorlesung,SWS Ringvorlesung,SWS Übung,SWS Seminar,SWS Übung/Seminar,SWS Tutorium,SWS Praktikum,SWS Exkursion,SWS Projekt,SWS Berufspraktikum,SWS Sprachkurs,SWS eLearning,Summe SWS,Arbeitsaufwand [h] ,Selbststudium [h] ,ECTS,PVL Referat,PVL Labor,PVL Beleg,PVL Teilnahme/Testat,PVL Protokoll,PVL Moderation,PL Klausur,PL mdl Prüfung,PL Referat,PL Präsentation,PL Belegarbeit,PL Seminararbeit,PL Projektarbeit,PL Praktikumsprotokoll,PL Praktikumsbericht,PL Exkursionsbericht,PL Laborarbeit,PL Forschungsplan,PL e-Learning Test,WS,SS,Moduldauer [Semester],Modulverantw,Mail_Kontakt,weitere Dozenten,Bemerkung
VNT_37,,Umweltverfahrenstechnik,Verfahrens- und Naturstofftechnik,,,,,,,Diplom/Bachelor,TUD,Deutsch,3,0,2,0,0,0,0,0,0,0,0,0,"5,0",150,75,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,1,1,,Brummack,,,
VNT_44,,Molekulare Biotechnologie,Verfahrens- und Naturstofftechnik,,,,,,,Diplom/Bachelor,TUD,Deutsch,2,0,2,0,0,0,0,0,0,0,0,0,"4,0",150,90,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,1,1,,Steingroewer,,,
VNT_46,,Allgemeine Mikrobiologie,Verfahrens- und Naturstofftechnik,,,,,,,Diplom/Bachelor,TUD,Deutsch,2,0,0,0,0,0,2,0,0,0,0,0,"4,0",150,90,5,0,0,0,0,0,0,0,"0,75",0,0,0,0,0,"0,25",0,0,0,,,1,0,,Boschke,,,
POL-METH,,,Politik und Verfassung,,,,,,,Master,TUD,Deutsch,3,0,2,0,0,0,0,0,0,0,0,0,"5,0",153,78,"5,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,
Phil-MA 2,,Praktische Philosophie,Philosophie,,,,,,,Master,TUD,Deutsch,0,0,0,4,0,2,0,0,0,0,0,0,"6,0",450,360,15,0,0,1,0,0,0,0,"0,5",0,0,0,"0,5",0,0,0,0,0,,,1,1,,Rentsch,,,
Phil-MA WP-1,,Philosophie der Wissenschaft und Technik,Philosophie,,,,,,,Master,TUD,Deutsch,0,0,0,4,0,2,0,0,0,0,0,0,"6,0",450,360,15,0,0,1,0,0,0,0,"0,5",0,0,0,"0,5",0,0,0,0,0,,,1,1,,Irrgang,,,
Phil-PM-WT 3,,Geistes- und Sozialwissenschaftliche Aspekte der Wissens- und Technikforschung,Philosophie,,,,,,,Master,TUD,Deutsch,2,0,2,2,0,2,0,0,0,0,0,0,"8,0",450,330,15,0,0,0,0,0,0,"0,5",0,0,0,0,"0,5",0,0,0,0,0,,,1,0,,Halfmann,,,
BWL-MA-02-04 / MA-WW-BWL-0205 / D-WW-WIWI-0205,FOMH 6,Ökologieorientierte Informations- und Entscheidungsinstrumente,Betriebswirtschaftslehre,,,,,,,Master,TUD,Deutsch,2,0,0,2,0,0,0,0,0,0,0,0,"4,0",180,120,6,0,0,0,0,0,0,"0,3",0,0,0,0,0,"0,7",0,0,0,0,,,0,1,,E.Günther,,,
BWL-MA-03-04,MA-WW-BWL-0694 / D-WW-WIWI-0694,Studienprojekte in Energie und Umwelt,Betriebswirtschaftslehre,,,,,,,Master,TUD,Deutsch,0,0,0,4,0,0,0,0,0,0,0,0,"4,0",180,120,6,0,0,0,0,0,0,0,0,0,0,0,"0,6","0,4",0,0,0,0,,,0,1,,Möst,,Günther,
BWL-MA-04-04,MA-WW-BWL-0605 / D-WW-WIWI-0605,Ressourcenökonomie und Umweltpolitik,Betriebswirtschaftslehre,,,,,,,Master,TUD,Deutsch,2,0,2,0,0,0,0,0,2,0,0,0,"6,0",270,180,9,0,0,0,0,0,0,"0,5",0,0,0,0,0,"0,5",0,0,0,0,,,0,1,,Möst,,,
