ModulNr.1,tag,VNT_37,VNT_44,VNT_46,POL-METH,Phil-MA 2,Phil-MA WP-1,Phil-PM-WT 3,BWL-MA-02-04 / MA-WW-BWL-0205 / D-WW-WIWI-0205,BWL-MA-03-04,BWL-MA-04-04,FOMH 6,FOMH 9,FOMH 10,FOMH 12,MSc GIT 04,MSc GIT 09,MSc GIT 12,MSc G 04,MSc G 09,MSc G 11
Biodiversität,Artenvielfalt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biodiversität,Biodiversität,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biodiversität,Biodiversitätsforschung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biodiversität,funktionale Vielfalt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biodiversität,genetische Vielfalt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biodiversität,Indikatoren Biodiversität,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biodiversität,Lebensraumvielfalt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biodiversität,Molekulare Biodiversität,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biodiversität,Schutz von Biodiversität,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biologie,"Anpassung (an klimatische, geologische, geographische Bedingungen)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biologie,Anpassung pflanzlicher Diasporen morphologisch / anatomisch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biologie,Areal / Verbreitungsgebiet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biologie,Artkonzept,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biologie,Aussterbeereignis / Extinktionsereignis / Aussterben / Extinktion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biologie,bioanorganische Chemie / Pathobiochemie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biologie,Biologische Eigenschaften von Taxa / Arten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biologie,Chronobiologie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biologie,Cytologie / Zytologie,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
